[08/15/20 13:25:13] [INFO] received Windows console close event; shutting log-core down
[08/15/20 13:38:52] [INFO] received Windows console close event; shutting log-core down
[08/15/20 16:38:27] [INFO] received Windows console close event; shutting log-core down
[08/15/20 17:58:09] [INFO] received Windows console close event; shutting log-core down
[08/15/20 18:02:19] [INFO] received Windows console close event; shutting log-core down
[08/15/20 18:03:40] [INFO] received Windows console close event; shutting log-core down
[08/15/20 18:04:40] [INFO] received Windows console close event; shutting log-core down
[08/15/20 18:06:05] [INFO] received Windows console close event; shutting log-core down
[08/15/20 18:08:50] [INFO] received Windows console close event; shutting log-core down
[08/16/20 20:38:32] [INFO] received Windows console close event; shutting log-core down
[08/16/20 20:41:08] [INFO] received Windows console close event; shutting log-core down
[08/16/20 20:46:35] [INFO] received Windows console close event; shutting log-core down
[08/16/20 20:48:48] [INFO] received Windows console close event; shutting log-core down
[08/16/20 20:49:10] [INFO] received Windows console close event; shutting log-core down
[08/16/20 20:49:20] [INFO] received Windows console close event; shutting log-core down
[08/16/20 20:49:45] [INFO] received Windows console close event; shutting log-core down
[08/16/20 20:50:03] [INFO] received Windows console close event; shutting log-core down
[08/16/20 20:54:39] [INFO] received Windows console close event; shutting log-core down
[08/16/20 21:02:04] [INFO] received Windows console close event; shutting log-core down
[08/18/20 13:09:20] [INFO] received Windows console close event; shutting log-core down
[08/18/20 13:12:47] [INFO] received Windows console close event; shutting log-core down
[08/18/20 13:13:34] [INFO] received Windows console close event; shutting log-core down
[08/18/20 13:16:35] [INFO] received Windows console close event; shutting log-core down
[08/18/20 13:18:04] [INFO] received Windows console close event; shutting log-core down
[08/18/20 13:19:09] [INFO] received Windows console close event; shutting log-core down
[08/18/20 13:20:02] [INFO] received Windows console close event; shutting log-core down
[08/18/20 13:24:21] [INFO] received Windows console close event; shutting log-core down
[08/18/20 13:30:06] [INFO] received Windows console close event; shutting log-core down
[08/18/20 13:34:58] [INFO] received Windows console close event; shutting log-core down
[08/18/20 13:41:11] [INFO] received Windows console close event; shutting log-core down
[08/18/20 13:44:45] [INFO] received Windows console close event; shutting log-core down
[08/18/20 13:49:14] [INFO] received Windows console close event; shutting log-core down
[08/18/20 13:52:34] [INFO] received Windows console close event; shutting log-core down
[08/18/20 13:52:42] [INFO] received Windows console close event; shutting log-core down
[08/18/20 13:54:35] [INFO] received Windows console close event; shutting log-core down
[08/18/20 14:00:00] [INFO] received Windows console close event; shutting log-core down
[08/18/20 14:04:12] [INFO] received Windows console close event; shutting log-core down
[08/18/20 14:06:43] [INFO] received Windows console close event; shutting log-core down
[08/18/20 14:11:36] [INFO] received Windows console close event; shutting log-core down
[08/18/20 18:29:48] [INFO] received Windows console close event; shutting log-core down
[08/18/20 18:35:42] [INFO] received Windows console close event; shutting log-core down
[08/18/20 18:56:59] [INFO] received Windows console close event; shutting log-core down
[08/18/20 18:58:46] [INFO] received Windows console close event; shutting log-core down
[08/18/20 19:02:48] [INFO] received Windows console close event; shutting log-core down
[08/18/20 19:08:44] [INFO] received Windows console close event; shutting log-core down
[08/18/20 19:14:18] [INFO] received Windows console close event; shutting log-core down
[08/18/20 19:17:36] [INFO] received Windows console close event; shutting log-core down
[08/19/20 13:51:01] [INFO] received Windows console close event; shutting log-core down
[08/19/20 14:01:10] [INFO] received Windows console close event; shutting log-core down
